,Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal)
0,"Binny Mill (F&V), Bangalore",02/11/2017,678,Apple,8000,9000,8500
1,,03/11/2017,269,Apple,7000,9000,8000
2,,04/11/2017,323,Apple,8000,9000,8500
3,,07/11/2017,491,Apple,8000,9000,8500
4,,08/11/2017,537,Apple,7000,8500,7800
5,,10/11/2017,321,Apple,7000,8000,7500
6,,13/11/2017,875,Apple,6000,8000,7000
7,,14/11/2017,360,Apple,7000,8000,7500
8,,15/11/2017,359,Apple,7000,8500,8000
9,,16/11/2017,295,Apple,7000,8000,7500
10,Udupi,08/11/2017,3,Apple,8600,9000,8800
11,,15/11/2017,2,Apple,8600,9000,8800
